"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE41500105170123456789";"31.07.26";"31.07.26";"ENTGELTABSCHLUSS";"Entgeltabschluss siehe Anlage";"";"";"";"";"";"";"";"";"";"-12,90";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"31.07.26";"31.07.26";"ONLINE-UEBERWEISUNG";"Verwaltungshonorar Juli 2026 R-2026-0127";"";"";"NOTPROVIDED";"";"";"";"Hausverwaltung Mustermann GmbH";"DE02120300000000202051";"BYLADEM1001";"-304,64";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"20.07.26";"20.07.26";"ONLINE-UEBERWEISUNG";"Auszahlung Überschuss Q2";"";"";"NOTPROVIDED";"";"";"";"Erika Vogel";"DE93370502990034567890";"COKSDE33XXX";"-3.000,00";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"15.07.26";"15.07.26";"ONLINE-UEBERWEISUNG";"Abschlag 07/2026 Kd 4471";"";"";"NOTPROVIDED";"";"";"";"Rheinland Wasserwerke GmbH";"DE82370502990000112233";"COKSDE33XXX";"-484,70";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"09.07.26";"09.07.26";"ONLINE-UEBERWEISUNG";"Rg 2026-1187";"";"";"NOTPROVIDED";"";"";"";"Elektro Kaminski GmbH";"DE89370400440532013000";"COBADEFFXXX";"-578,34";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"08.07.26";"08.07.26";"FOLGELASTSCHRIFT";"RE 2026-0711 Treppenhausreinigung Juli";"DE55ZZZ00001234567";"M-2201-01";"2026-0711";"";"";"";"Sauber und Fein Gebaeudereinigung GmbH";"DE75370501981901234567";"COLSDE33XXX";"-226,10";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"06.07.26";"06.07.26";"GUTSCHRIFT UEBERWEISUNG";"Miete Juli WG";"";"";"";"";"";"";"Lena Ott";"DE22200411110123456789";"COBADEHDXXX";"545,00";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"03.07.26";"03.07.26";"GUTSCHRIFT UEBERWEISUNG";"Hoffmann Whg 5 Miete Juli";"";"";"";"";"";"";"Marie Neumann";"DE73370501980056789012";"COLSDE33XXX";"1.170,00";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"03.07.26";"03.07.26";"GUTSCHRIFT UEBERWEISUNG";"Miete Juli Fischer";"";"";"";"";"";"";"Karl Fischer";"DE04100500000190001060";"BELADEBEXXX";"770,00";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"02.07.26";"02.07.26";"GUTSCHRIFT UEBERWEISUNG";"Miete Juli";"";"";"";"";"";"";"Jonas Weber";"DE02100110012345678901";"NTSBDEB1XXX";"800,00";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"01.07.26";"01.07.26";"GUTSCHRIFT UEBERWEISUNG";"Miete Juli Schmidt Whg 1";"";"";"";"";"";"";"Anna Schmidt";"DE31100110012626667882";"NTSBDEB1XXX";"900,00";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"01.07.26";"01.07.26";"GUTSCHRIFT UEBERWEISUNG";"MIETE 07/2026";"";"";"";"";"";"";"Mehmet Yilmaz";"DE11520513735120710131";"HELADEF1ERB";"1.010,00";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"01.07.26";"01.07.26";"GUTSCHRIFT UEBERWEISUNG";"Miete Juli WG";"";"";"";"";"";"";"Tim Becker";"DE63120300001098765432";"BYLADEM1001";"545,00";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"01.07.26";"01.07.26";"DAUERAUFTRAG";"";"";"";"";"";"";"";"Elif Demir";"DE26100100100057021049";"PBNKDEFFXXX";"875,00";"EUR";"Umsatz gebucht"
"DE41500105170123456789";"01.07.26";"01.07.26";"GUTSCHRIFT UEBERWEISUNG";"Miete Juli Fischer";"";"";"";"";"";"";"Karl Fischer";"DE04100500000190001060";"BELADEBEXXX";"770,00";"EUR";"Umsatz gebucht"
